"journal","Social.Psychology...Social.Processes","Basic...Experimental.Psychology","Clinical.Psychology","Developmental.Psychology","Educational.Psychology..School.Psychology...Training","Forensic.Psychology","Health.Psychology...Medicine","Industrial.Organizational.Psychology...Management","Neuroscience...Cognition"
"American Journal of Orthopsychiatry",1,0,1,0,0,0,0,0,0
"American Psychologist",0,0,0,0,0,0,0,0,0
"Behavioral Neuroscience",0,1,0,0,0,0,0,0,1
"Canadian Journal of Behavioural Science",1,0,0,1,1,0,0,0,0
"Canadian Journal of Experimental Psychology",0,1,0,0,0,0,0,0,1
"Canadian Psychology",1,0,0,0,0,0,0,0,0
"Clinical Practice in Pediatric Psychology",0,0,1,1,0,0,1,0,0
"Consulting Psychology Journal: Practice and Research",0,0,0,0,0,0,0,1,0
"Couple and Family Psychology: Research and Practice",1,0,1,0,0,0,0,0,0
"Cultural Diversity & Ethnic Minority Psychology",1,0,0,1,0,0,1,0,0
"Decision",0,1,0,0,0,0,0,0,1
"Developmental Psychology",1,0,0,1,1,0,0,0,0
"Dreaming",0,1,1,0,0,0,0,0,0
"Emotion",1,1,0,0,0,0,0,0,0
"Evolutionary Behavioral Sciences",1,0,0,0,0,0,0,0,1
"Experimental and Clinical Psychopharmacology",0,1,1,0,0,0,1,0,0
"Group Dynamics: Theory, Research, and Practice",1,0,0,0,0,0,0,1,0
"Health Psychology",0,0,1,0,0,0,1,0,0
"History of Psychology",1,0,0,0,0,0,0,0,0
"International Journal of Play Therapy",0,0,1,1,0,0,0,0,0
"International Journal of Stress Management",0,0,1,0,0,0,1,1,0
"International Perspectives in Psychology: Research, Practice, Consultation",1,0,1,0,0,0,0,0,0
"Journal of Abnormal Psychology",0,0,1,0,0,0,0,0,0
"Journal of Applied Psychology",0,0,0,0,0,0,0,1,0
"Journal of Comparative Psychology",0,1,0,0,0,0,0,0,0
"Journal of Consulting and Clinical Psychology",0,0,1,0,0,0,0,0,0
"Journal of Counseling Psychology",0,0,1,0,1,0,1,0,0
"Journal of Diversity in Higher Education",1,0,0,0,1,0,0,0,0
"Journal of Educational Psychology",0,0,0,0,1,0,0,0,0
"Journal of Experimental Psychology: Applied",0,1,0,0,0,0,0,1,0
"Journal of Experimental Psychology: General",0,1,0,0,0,0,0,1,0
"Journal of Experimental Psychology: Human Perception and Performance",0,1,0,0,0,0,0,0,0
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0,1,0,0,0,0,0,0,1
"Journal of Family Psychology",1,0,0,1,0,0,0,0,0
"Journal of Latina/o Psychology",1,0,1,0,0,0,1,0,0
"Journal of Neuroscience, Psychology, and Economics",0,1,0,0,0,0,0,1,1
"Journal of Occupational Health Psychology",0,0,0,0,0,0,1,1,0
"Journal of Personality and Social Psychology",1,0,0,0,0,0,0,1,0
"Journal of Psychotherapy Integration",0,0,1,0,0,0,0,0,0
"Journal of Rural Mental Health",0,0,1,0,0,0,1,0,0
"Journal of Theoretical and Philosophical Psychology",0,0,0,0,0,0,0,0,0
"Journal of Threat Assessment and Management",1,0,1,0,0,1,0,0,0
"Law and Human Behavior",1,0,0,0,0,1,0,0,0
"Military Psychology",0,0,0,0,0,0,1,1,0
"Motivation Science",0,1,0,0,0,0,0,0,1
"Neuropsychology",0,1,1,0,1,0,1,0,1
"Peace and Conflict: Journal of Peace Psychology",1,0,0,0,0,0,0,0,0
"Personality Disorders: Theory, Research, and Treatment",0,0,1,0,0,0,1,0,0
"Psychiatric Rehabilitation Journal",0,0,1,0,0,0,1,0,0
"Psychoanalytic Psychology",0,0,1,1,0,0,0,0,0
"Psychological Assessment",0,0,1,0,1,1,1,1,0
"Psychological Bulletin",0,0,0,0,0,0,0,0,0
"Psychological Methods",0,1,0,0,0,0,0,0,0
"Psychological Review",0,0,0,0,0,0,0,0,0
"Psychological Services",0,0,1,0,0,0,1,0,0
"Psychological Trauma: Theory, Research, Practice, and Policy",0,0,1,0,0,0,1,0,0
"Psychology of Addictive Behaviors",0,0,1,0,0,0,1,0,0
"Psychology of Aesthetics, Creativity, and the Arts",1,1,0,0,0,0,0,0,1
"Psychology of Consciousness: Theory, Research, and Practice",0,1,0,0,0,0,0,0,0
"Psychology of Men & Masculinity",1,0,0,1,0,0,1,0,0
"Psychology of Popular Media Culture",1,1,0,0,0,0,0,0,0
"Psychology of Religion and Spirituality",1,0,0,0,0,0,1,0,0
"Psychology of Sexual Orientation and Gender Diversity",1,0,1,0,0,0,1,0,0
"Psychology of Violence",1,0,0,0,0,0,1,0,0
"Psychology, Public Policy, and Law",1,0,0,0,0,1,0,0,0
"Psychomusicology: Music, Mind, and Brain",0,1,0,0,0,0,0,0,1
"Psychotherapy",0,0,1,0,0,0,0,0,0
"Rehabilitation Psychology",0,0,1,0,1,0,1,1,0
"Review of General Psychology",0,0,0,0,0,0,0,1,0
"School Psychology Quarterly",0,0,0,0,1,0,0,0,0
"Spirituality in Clinical Practice",0,0,1,0,0,0,1,0,0
"Sport, Exercise, and Performance Psychology",0,0,1,0,0,0,1,0,0
"Stigma and Health",0,0,0,0,0,0,1,0,0
"Training and Education in Professional Psychology",0,0,1,0,1,0,0,0,0
