"doi","year","journal"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.73.1.3",2003,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.76.1.13",2006,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.10",2007,"American Journal of Orthopsychiatry"
"10.1037/0002-9432.77.1.1",2007,"American Journal of Orthopsychiatry"
