"year","journal","count"
1985,"Behavioral Neuroscience",1365
1985,"Developmental Psychology",1450
1985,"Health Psychology",288
1985,"Journal of Applied Psychology",374
1985,"Journal of Consulting and Clinical Psychology",853
1985,"Journal of Educational Psychology",303
1985,"Journal of Experimental Psychology: General",418
1985,"Journal of Personality and Social Psychology",3281
1986,"Behavioral Neuroscience",682
1986,"Developmental Psychology",1178
1986,"Health Psychology",313
1986,"Journal of Applied Psychology",396
1986,"Journal of Consulting and Clinical Psychology",910
1986,"Journal of Educational Psychology",530
1986,"Journal of Experimental Psychology: General",294
1986,"Journal of Personality and Social Psychology",2958
1987,"Behavioral Neuroscience",1294
1987,"Developmental Psychology",951
1987,"Health Psychology",365
1987,"Journal of Applied Psychology",338
1987,"Journal of Consulting and Clinical Psychology",944
1987,"Journal of Educational Psychology",650
1987,"Journal of Experimental Psychology: General",396
1987,"Journal of Personality and Social Psychology",2481
1988,"Behavioral Neuroscience",1748
1988,"Developmental Psychology",975
1988,"Health Psychology",439
1988,"Journal of Applied Psychology",505
1988,"Journal of Consulting and Clinical Psychology",926
1988,"Journal of Educational Psychology",391
1988,"Journal of Experimental Psychology: General",378
1988,"Journal of Personality and Social Psychology",1642
1989,"Behavioral Neuroscience",1570
1989,"Developmental Psychology",1345
1989,"Health Psychology",312
1989,"Journal of Applied Psychology",106
1989,"Journal of Consulting and Clinical Psychology",949
1989,"Journal of Educational Psychology",537
1989,"Journal of Experimental Psychology: General",430
1989,"Journal of Personality and Social Psychology",2409
1990,"Behavioral Neuroscience",1474
1990,"Developmental Psychology",1361
1990,"Health Psychology",254
1990,"Journal of Applied Psychology",407
1990,"Journal of Consulting and Clinical Psychology",781
1990,"Journal of Educational Psychology",413
1990,"Journal of Experimental Psychology: General",336
1990,"Journal of Personality and Social Psychology",3663
1990,"Psychological Assessment",400
1991,"Behavioral Neuroscience",748
1991,"Developmental Psychology",1308
1991,"Health Psychology",512
1991,"Journal of Applied Psychology",636
1991,"Journal of Consulting and Clinical Psychology",421
1991,"Journal of Educational Psychology",477
1991,"Journal of Experimental Psychology: General",364
1991,"Journal of Personality and Social Psychology",2217
1991,"Psychological Assessment",343
1992,"Behavioral Neuroscience",1359
1992,"Developmental Psychology",935
1992,"Health Psychology",556
1992,"Journal of Applied Psychology",409
1992,"Journal of Consulting and Clinical Psychology",831
1992,"Journal of Educational Psychology",326
1992,"Journal of Experimental Psychology: General",389
1992,"Journal of Personality and Social Psychology",2956
1992,"Psychological Assessment",430
1993,"Behavioral Neuroscience",1502
1993,"Developmental Psychology",1773
1993,"Health Psychology",595
1993,"Journal of Applied Psychology",231
1993,"Journal of Consulting and Clinical Psychology",1227
1993,"Journal of Educational Psychology",787
1993,"Journal of Experimental Psychology: General",483
1993,"Journal of Personality and Social Psychology",3282
1993,"Psychological Assessment",395
1994,"Behavioral Neuroscience",1774
1994,"Developmental Psychology",816
1994,"Health Psychology",533
1994,"Journal of Applied Psychology",710
1994,"Journal of Consulting and Clinical Psychology",1082
1994,"Journal of Educational Psychology",676
1994,"Journal of Experimental Psychology: General",321
1994,"Journal of Personality and Social Psychology",1928
1994,"Psychological Assessment",246
1995,"Behavioral Neuroscience",1383
1995,"Developmental Psychology",950
1995,"Health Psychology",675
1995,"Journal of Applied Psychology",475
1995,"Journal of Consulting and Clinical Psychology",1288
1995,"Journal of Educational Psychology",768
1995,"Journal of Experimental Psychology: General",229
1995,"Journal of Personality and Social Psychology",3373
1995,"Psychological Assessment",233
1996,"Behavioral Neuroscience",2241
1996,"Developmental Psychology",1151
1996,"Health Psychology",542
1996,"Journal of Applied Psychology",637
1996,"Journal of Consulting and Clinical Psychology",1108
1996,"Journal of Educational Psychology",463
1996,"Journal of Experimental Psychology: General",485
1996,"Journal of Personality and Social Psychology",3141
1996,"Psychological Assessment",227
1997,"Behavioral Neuroscience",1482
1997,"Developmental Psychology",1132
1997,"Health Psychology",643
1997,"Journal of Applied Psychology",577
1997,"Journal of Consulting and Clinical Psychology",1027
1997,"Journal of Educational Psychology",311
1997,"Journal of Experimental Psychology: General",555
1997,"Journal of Personality and Social Psychology",3868
1997,"Psychological Assessment",176
1998,"Behavioral Neuroscience",835
1998,"Developmental Psychology",1881
1998,"Health Psychology",621
1998,"Journal of Applied Psychology",425
1998,"Journal of Consulting and Clinical Psychology",1271
1998,"Journal of Educational Psychology",719
1998,"Journal of Experimental Psychology: General",442
1998,"Journal of Personality and Social Psychology",4480
1998,"Psychological Assessment",376
1999,"Behavioral Neuroscience",2244
1999,"Developmental Psychology",1139
1999,"Health Psychology",490
1999,"Journal of Applied Psychology",501
1999,"Journal of Consulting and Clinical Psychology",990
1999,"Journal of Educational Psychology",858
1999,"Journal of Experimental Psychology: General",490
1999,"Journal of Personality and Social Psychology",3479
